document_name,threshold,num_chunks,chunk_index,num_tokens
lulzbot_taz_pro_user_manual.pdf,90,105,84,403
lulzbot_taz_pro_user_manual.pdf,90,105,85,250
lulzbot_taz_pro_user_manual.pdf,90,105,86,1017
lulzbot_taz_pro_user_manual.pdf,90,105,87,108
lulzbot_taz_pro_user_manual.pdf,90,105,88,245
lulzbot_taz_pro_user_manual.pdf,90,105,89,414
lulzbot_taz_pro_user_manual.pdf,90,105,90,418
lulzbot_taz_pro_user_manual.pdf,90,105,91,595
lulzbot_taz_pro_user_manual.pdf,90,105,92,1500
lulzbot_taz_pro_user_manual.pdf,90,105,93,972
lulzbot_taz_pro_user_manual.pdf,90,105,94,111
lulzbot_taz_pro_user_manual.pdf,90,105,95,62
lulzbot_taz_pro_user_manual.pdf,90,105,96,291
lulzbot_taz_pro_user_manual.pdf,90,105,97,12
lulzbot_taz_pro_user_manual.pdf,90,105,98,152
lulzbot_taz_pro_user_manual.pdf,90,105,99,82
lulzbot_taz_pro_user_manual.pdf,90,105,100,62
lulzbot_taz_pro_user_manual.pdf,90,105,101,53
lulzbot_taz_pro_user_manual.pdf,90,105,102,28
lulzbot_taz_pro_user_manual.pdf,90,105,103,15
lulzbot_taz_pro_user_manual.pdf,90,105,104,160
niosh_safe_3d_printing_2024-103.pdf,90,235,0,214
niosh_safe_3d_printing_2024-103.pdf,90,235,1,51
niosh_safe_3d_printing_2024-103.pdf,90,235,2,150
niosh_safe_3d_printing_2024-103.pdf,90,235,3,24
niosh_safe_3d_printing_2024-103.pdf,90,235,4,351
niosh_safe_3d_printing_2024-103.pdf,90,235,5,6
niosh_safe_3d_printing_2024-103.pdf,90,235,6,2
niosh_safe_3d_printing_2024-103.pdf,90,235,7,124
niosh_safe_3d_printing_2024-103.pdf,90,235,8,12
niosh_safe_3d_printing_2024-103.pdf,90,235,9,118
niosh_safe_3d_printing_2024-103.pdf,90,235,10,12
niosh_safe_3d_printing_2024-103.pdf,90,235,11,108
niosh_safe_3d_printing_2024-103.pdf,90,235,12,11
niosh_safe_3d_printing_2024-103.pdf,90,235,13,102
niosh_safe_3d_printing_2024-103.pdf,90,235,14,23
niosh_safe_3d_printing_2024-103.pdf,90,235,15,42
niosh_safe_3d_printing_2024-103.pdf,90,235,16,2
niosh_safe_3d_printing_2024-103.pdf,90,235,17,12
niosh_safe_3d_printing_2024-103.pdf,90,235,18,86
niosh_safe_3d_printing_2024-103.pdf,90,235,19,2
niosh_safe_3d_printing_2024-103.pdf,90,235,20,12
niosh_safe_3d_printing_2024-103.pdf,90,235,21,90
niosh_safe_3d_printing_2024-103.pdf,90,235,22,22
niosh_safe_3d_printing_2024-103.pdf,90,235,23,24
niosh_safe_3d_printing_2024-103.pdf,90,235,24,2
niosh_safe_3d_printing_2024-103.pdf,90,235,25,11
niosh_safe_3d_printing_2024-103.pdf,90,235,26,108
niosh_safe_3d_printing_2024-103.pdf,90,235,27,2
niosh_safe_3d_printing_2024-103.pdf,90,235,28,9
niosh_safe_3d_printing_2024-103.pdf,90,235,29,116
niosh_safe_3d_printing_2024-103.pdf,90,235,30,2
niosh_safe_3d_printing_2024-103.pdf,90,235,31,11
niosh_safe_3d_printing_2024-103.pdf,90,235,32,108
niosh_safe_3d_printing_2024-103.pdf,90,235,33,2
niosh_safe_3d_printing_2024-103.pdf,90,235,34,12
niosh_safe_3d_printing_2024-103.pdf,90,235,35,86
niosh_safe_3d_printing_2024-103.pdf,90,235,36,2
niosh_safe_3d_printing_2024-103.pdf,90,235,37,9
niosh_safe_3d_printing_2024-103.pdf,90,235,38,112
niosh_safe_3d_printing_2024-103.pdf,90,235,39,2
niosh_safe_3d_printing_2024-103.pdf,90,235,40,10
niosh_safe_3d_printing_2024-103.pdf,90,235,41,114
niosh_safe_3d_printing_2024-103.pdf,90,235,42,2
niosh_safe_3d_printing_2024-103.pdf,90,235,43,9
niosh_safe_3d_printing_2024-103.pdf,90,235,44,120
niosh_safe_3d_printing_2024-103.pdf,90,235,45,2
niosh_safe_3d_printing_2024-103.pdf,90,235,46,15
niosh_safe_3d_printing_2024-103.pdf,90,235,47,80
niosh_safe_3d_printing_2024-103.pdf,90,235,48,2
niosh_safe_3d_printing_2024-103.pdf,90,235,49,9
niosh_safe_3d_printing_2024-103.pdf,90,235,50,118
niosh_safe_3d_printing_2024-103.pdf,90,235,51,2
niosh_safe_3d_printing_2024-103.pdf,90,235,52,9
niosh_safe_3d_printing_2024-103.pdf,90,235,53,112
niosh_safe_3d_printing_2024-103.pdf,90,235,54,2
